Key,Value,Description
C_m,10.0,Membrane capacitance (pF)
g_L,2.0,Leak conductance (nS)
g_Ca,8.0,Ca conductance (nS)
g_K,12.0,K conductance (nS)
E_L,-60.0,Leak reversal potential (mV)
E_Ca,120.0,Ca reversal potential (mV)
E_K,-84.0,K reversal potential (mV)
V1,-1.2,Ca activation midpoint (mV)
V2,18.0,Ca activation slope (mV)
V3,-10.0,K activation midpoint (mV)
V4,12.0,K activation slope (mV)
phi,0.2,Recovery time scale
alpha_Gly,1.0,Max glycine release
V_Gly_half,-20.0,Release half-activation (mV)
V_Gly_slope,5.0,Release slope (mV)
tau_Gly,4.0,Glycine clearance time (ms)
